year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2008,1,9E,Pinnacle Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85,29,11.67,0,9.26,0,8.08,5,0,1150,404,0,270,0,476
2008,1,9E,Pinnacle Airlines Inc.,ALB,"Albany, NY: Albany International",51,15,5.34,0,6.79,0,2.87,6,0,475,220,0,170,0,85
2008,1,9E,Pinnacle Airlines Inc.,ALO,"Waterloo, IA: Waterloo Regional",27,4,1,0,2,0,1,7,0,79,18,0,42,0,19
2008,1,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",157,36,4.71,0,9.85,0,21.43,7,0,3331,575,0,425,0,2331
2008,1,9E,Pinnacle Airlines Inc.,ATW,"Appleton, WI: Appleton International",65,8,4.08,0,2.92,0,1,5,0,330,171,0,89,0,70
2008,1,9E,Pinnacle Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",88,30,16.08,1.13,8.34,0,4.45,0,1,2346,1668,61,340,0,277
2008,1,9E,Pinnacle Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",90,21,5.83,0,8.27,0,6.9,3,1,930,251,0,267,0,412
2008,1,9E,Pinnacle Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",58,20,5.5,0,5.43,0,9.07,4,1,1252,430,0,290,0,532
2008,1,9E,Pinnacle Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",91,24,9.91,0.87,5.3,0,7.92,11,2,1351,522,33,211,0,585
2008,1,9E,Pinnacle Airlines Inc.,BDL,"Hartford, CT: Bradley International",74,20,7.39,0,5.9,0,6.7,4,1,1215,544,0,183,0,488
2008,1,9E,Pinnacle Airlines Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",62,21,9.51,0.91,5.13,0,5.45,2,1,1251,526,197,256,0,272
2008,1,9E,Pinnacle Airlines Inc.,BGR,"Bangor, ME: Bangor International",62,18,8.66,0,5.09,0,4.25,4,0,1713,1104,0,244,0,365
2008,1,9E,Pinnacle Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",149,39,14.42,1.15,13.98,0,9.46,6,0,2062,708,79,491,0,784
2008,1,9E,Pinnacle Airlines Inc.,BIL,"Billings, MT: Billings Logan International",6,4,2.69,0,1.31,0,0,0,0,247,204,0,43,0,0
2008,1,9E,Pinnacle Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",67,12,9.04,0,1.96,0,1,10,0,560,464,0,59,0,37
2008,1,9E,Pinnacle Airlines Inc.,BNA,"Nashville, TN: Nashville International",141,50,20.82,1.73,12.27,0,15.17,3,0,3066,1514,146,463,0,943
2008,1,9E,Pinnacle Airlines Inc.,BOS,"Boston, MA: Logan International",91,19,7.93,0,5.99,0,5.08,6,0,1090,492,0,303,0,295
2008,1,9E,Pinnacle Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",37,9,2.39,1.23,3.38,0,2,1,0,840,426,49,105,0,260
2008,1,9E,Pinnacle Airlines Inc.,BTV,"Burlington, VT: Burlington International",68,21,7.22,0,7.79,0,5.99,2,1,1284,556,0,269,0,459
2008,1,9E,Pinnacle Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",28,8,3.77,0,2.41,0,1.83,3,1,327,166,0,81,0,80
2008,1,9E,Pinnacle Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59,17,6.89,4.13,0.97,0,5,0,0,1143,423,139,39,0,542
2008,1,9E,Pinnacle Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",6,3,1.32,0,0.68,0,1,1,0,160,85,0,36,0,39
2008,1,9E,Pinnacle Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",120,36,15.99,2.8,10.98,0,6.23,7,0,1728,826,57,430,0,415
2008,1,9E,Pinnacle Airlines Inc.,CAK,"Akron, OH: Akron-Canton Regional",84,17,6.02,0,5.95,0,5.03,6,0,759,255,0,233,0,271
2008,1,9E,Pinnacle Airlines Inc.,CHA,"Chattanooga, TN: Lovell Field",31,12,5.51,1,1.51,0,3.98,3,0,845,461,30,42,0,312
2008,1,9E,Pinnacle Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",120,28,7.2,2.67,8.38,0,9.76,1,0,1643,349,216,300,0,778
2008,1,9E,Pinnacle Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",174,39,21.6,0,9.73,0,7.68,15,3,2331,1274,0,404,0,653
2008,1,9E,Pinnacle Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",242,67,34.04,0,17.19,0,15.77,3,0,3915,1645,0,677,0,1593
2008,1,9E,Pinnacle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",98,35,13.58,1.47,11.66,0,8.28,4,0,1787,722,100,396,0,569
2008,1,9E,Pinnacle Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",218,59,29.09,2.33,12.59,0,14.99,7,0,4030,2084,113,499,0,1334
2008,1,9E,Pinnacle Airlines Inc.,CMX,"Hancock/Houghton, MI: Houghton County Memorial",31,8,1.63,2.54,3.83,0,0,8,0,814,52,122,640,0,0
2008,1,9E,Pinnacle Airlines Inc.,CPR,"Casper, WY: Casper/Natrona County International",31,6,1.77,0,3.99,0,0.24,0,0,169,75,0,87,0,7
2008,1,9E,Pinnacle Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",207,48,28.2,0.37,10.36,0,9.07,7,0,2799,1740,7,377,0,675
2008,1,9E,Pinnacle Airlines Inc.,CWA,"Mosinee, WI: Central Wisconsin",27,8,5.12,0,2.02,0,0.86,3,0,316,206,0,56,0,54
2008,1,9E,Pinnacle Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",148,35,16.5,0.58,7.42,0,10.51,2,0,2269,1049,23,379,0,818
2008,1,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",112,13,3,1,4,0.72,4.28,4,0,724,341,99,97,18,169
2008,1,9E,Pinnacle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",58,17,2.68,1.09,7.73,0,5.5,2,0,962,153,56,298,0,455
2008,1,9E,Pinnacle Airlines Inc.,DLH,"Duluth, MN: Duluth International",84,19,8.53,1,6.47,0,3,4,0,715,341,38,152,0,184
2008,1,9E,Pinnacle Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",294,94,38.63,6.75,28.53,0,20.09,13,1,5873,2809,400,890,0,1774
2008,1,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4690,1192,261.62,26.88,339.23,0.13,564.15,264,11,78668,28259,2861,11723,8,35817
2008,1,9E,Pinnacle Airlines Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",113,30,11.44,0,10.09,0,8.47,7,0,1872,883,0,354,0,635
2008,1,9E,Pinnacle Airlines Inc.,ERI,"Erie, PA: Erie International/Tom Ridge Field",109,33,10.71,0.31,17.03,0,4.96,12,0,1539,682,18,525,0,314
2008,1,9E,Pinnacle Airlines Inc.,EVV,"Evansville, IN: Evansville Regional",175,46,17.09,0.33,16.49,0,12.09,10,1,2333,1082,8,510,0,733
2008,1,9E,Pinnacle Airlines Inc.,FAR,"Fargo, ND: Hector International",102,26,11.83,0,8.69,0,5.48,5,0,1348,734,0,286,0,328
2008,1,9E,Pinnacle Airlines Inc.,FCA,"Kalispell, MT: Glacier Park International",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
